"Ielieta degviela l","Ielietās degvielas cena EUR/l","Ielietās degvielas izmaksas EUR","Ielietās degvielas kods",Laiks,,"Brauk- šanas laiks","Stāvē- šanas laiks","ielieta eļļa","Izlietotā degviela l Patēriņš",Maršruts,,Sētas,"Nobrauktie km","Odometra rād.",,"Vidējais ātrums km/h","Maksimālais ātrums km/h","Pavadz. Nr.","Krava t","Klienta paraksts"
,,,,Sākot,Beidzot,,,,,no,līdz,,,sākumā,beigās
,,,,"2018.02.28 11:35","2018.02.28 11:41","5 min","1 h, 12 min",,"-0,41","Vaļņu iela 8, Jelgava","Lielā iela 8, Jelgava",,"1,9","104972,7","104974,6",18,42,,,
,,,,"2018.02.28 12:53","2018.02.28 12:54","39 sek","1 min, 2 sek",,"-0,04","Lielā iela 8, Jelgava","Pasta iela 33A, Jelgava",,"0,2","104974,6","104974,8",13,24,,,
,,,,"2018.02.28 12:55","2018.02.28 13:01","6 min","4 min",,"-0,65","Pasta iela 33A, Jelgava","Rūpniecības iela 75A, Jelgava",,"3,0","104974,8","104977,8",26,49,,,
,,,,"2018.02.28 13:06","2018.02.28 13:08","1 min, 51 sek","1 min, 48 sek",,"-0,17","Rūpniecības iela 75A, Jelgava","Rūpniecības iela 41, Jelgava",,"0,8","104977,8","104978,6",23,45,,,
,,,,"2018.02.28 13:10","2018.02.28 13:11","1 min, 7 sek","1 min, 21 sek",,"-0,06","Rūpniecības iela 41, Jelgava","Rūpniecības iela 31, Jelgava",,"0,3","104978,6","104978,9",12,25,,,
,,,,"2018.02.28 13:12","2018.02.28 13:13","55 sek","2 min, 48 sek",,"-0,09","Rūpniecības iela 31, Jelgava","Mātera iela 72, Jelgava",,"0,4","104978,9","104979,3",21,46,,,
,,,,"2018.02.28 13:16","2018.02.28 13:20","4 min","1 min, 35 sek",,"-0,56","Mātera iela 72, Jelgava","Tērvetes iela 68, Jelgava",,"2,6","104979,3","104981,9",31,45,,,
,,,,"2018.02.28 13:22","2018.02.28 13:24","2 min, 14 sek","2 min, 36 sek",,"-0,19","Tērvetes iela 68, Jelgava","Filozofu iela 61, Jelgava",,"0,9","104981,9","104982,8",24,48,,,
,,,,"2018.02.28 13:27","2018.02.28 13:33","5 min","1 min, 4 sek",,"-0,78","Filozofu iela 61, Jelgava","Dobeles šoseja 90, Jelgava",,"3,6","104982,8","104986,4",34,64,,,
,,,,"2018.02.28 13:34","2018.02.28 13:37","3 min","2 min, 59 sek",,"-0,41","Dobeles šoseja 90, Jelgava","Atmodas iela 21B, Jelgava",,"1,9","104986,4","104988,3",36,59,,,
,,,,"2018.02.28 13:40","2018.02.28 14:12","32 min","2 min",,"-3,35","Atmodas iela 21B, Jelgava","Aveņu iela 36, Jelgava",,"15,5","104988,3","105003,8",25,52,,,
,,,,"2018.02.28 14:14","2018.02.28 14:30","15 min","2 min, 33 sek",,"-1,54","Aveņu iela 36, Jelgava","Lielā iela 6, Jelgava",,"7,1","105003,8","105010,9",24,51,,,
,,,,"2018.02.28 14:33","2018.02.28 14:36","3 min","1 min, 50 sek",,"-0,13","Lielā iela 6, Jelgava","Krišjāņa Barona iela 6B, Jelgava",,"0,6","105010,9","105011,5",8,36,,,
,,,,"2018.02.28 14:38","2018.02.28 14:39","48 sek","1 min, 37 sek",,"-0,06","Krišjāņa Barona iela 6B, Jelgava","Dobeles iela 9, Jelgava",,"0,3","105011,5","105011,8",20,31,,,
,,,,"2018.02.28 14:41","2018.02.28 14:41","39 sek","1 min, 40 sek",,"-0,09","Dobeles iela 9, Jelgava","Dobeles iela 42, Jelgava",,"0,4","105011,8","105012,2",33,45,,,
,,,,"2018.02.28 14:43","2018.02.28 14:45","1 min, 40 sek","2 min, 27 sek",,"-0,17","Dobeles iela 42, Jelgava","Meiju ceļš 10, Jelgava",,"0,8","105012,2",105013,25,40,,,
,,,,"2018.02.28 14:47","2018.02.28 14:50","2 min, 38 sek","2 min, 6 sek",,"-0,26","Meiju ceļš 10, Jelgava","Satiksmes iela 1, Jelgava",,"1,2",105013,"105014,2",25,38,,,
,,,,"2018.02.28 14:52","2018.02.28 14:57","5 min","1 min, 22 sek",,"-0,48","Satiksmes iela 1, Jelgava","Krišjāņa Barona iela 50, Jelgava",,"2,2","105014,2","105016,4",19,49,,,
,,,,"2018.02.28 14:59","2018.02.28 15:00","1 min, 20 sek","2 min, 11 sek",,"-0,13","Krišjāņa Barona iela 50, Jelgava","Dobeles šoseja 6D, Jelgava",,"0,6","105016,4",105017,26,46,,,
,,,,"2018.02.28 15:02","2018.02.28 15:12","9 min","1 min, 49 sek",,"-0,78","Dobeles šoseja 6D, Jelgava","Raiņa iela 16, Jelgava",,"3,6",105017,"105020,6",19,50,,,
,,,,"2018.02.28 15:14","2018.02.28 15:18","4 min","1 min, 4 sek",,"-0,30","Raiņa iela 16, Jelgava","Lielā iela 22, Jelgava",,"1,4","105020,6",105022,17,41,,,
,,,,"2018.02.28 15:19","2018.02.28 15:21","2 min, 22 sek","2 min, 40 sek",,"-0,13","Lielā iela 22, Jelgava","Pasta iela 33, Jelgava",,"0,6",105022,"105022,6",13,38,,,
,,,,"2018.02.28 15:24","2018.02.28 15:27","3 min","8 h, 32 min",,"-0,24","Pasta iela 33, Jelgava","Vaļņu iela 7A, Jelgava",,"1,1","105022,6","105023,7",20,41,,,
,,,,,,"2 d, 6 h, 26 min","25 d, 17 h, 33 min",,"217,63",,,,"1547,0",,,26,96,,,
